"";"ds";"trend";"additive_terms";"additive_terms_lower";"additive_terms_upper";"yearly";"yearly_lower";"yearly_upper";"multiplicative_terms";"multiplicative_terms_lower";"multiplicative_terms_upper";"yhat_lower";"yhat_upper";"trend_lower";"trend_upper";"yhat"
"27";1982-03-01;23832,1765819113;-2516,09554993245;-2516,09554993245;-2516,09554993245;-2516,09554993245;-2516,09554993245;-2516,09554993245;0;0;0;18728,7802382697;24058,7777970977;23832,1765819113;23832,1765819113;21316,0810319788
"28";1982-04-01;23915,8605048506;-1365,36308454081;-1365,36308454081;-1365,36308454081;-1365,36308454081;-1365,36308454081;-1365,36308454081;0;0;0;20090,0111248532;24966,7356299935;23915,8605048506;23915,8605048506;22550,4974203098
"29";1982-05-01;23996,8449464047;-2205,60001402912;-2205,60001402912;-2205,60001402912;-2205,60001402912;-2205,60001402912;-2205,60001402912;0;0;0;19139,5005647336;24373,9295285961;23996,8449464047;23996,8449464047;21791,2449323756
"30";1982-06-01;24080,5288695004;-2050,69346864188;-2050,69346864188;-2050,69346864188;-2050,69346864188;-2050,69346864188;-2050,69346864188;0;0;0;19490,0341212844;24669,9199481626;24080,5288695004;24080,5288695004;22029,8354008585
"31";1982-07-01;24161,5133112058;2739,92423088415;2739,92423088415;2739,92423088415;2739,92423088415;2739,92423088415;2739,92423088415;0;0;0;24241,7660320036;29570,7486249026;24161,5133112058;24161,5133112058;26901,43754209
"32";1982-08-01;24245,1972343015;2100,19673553703;2100,19673553703;2100,19673553703;2100,19673553703;2100,19673553703;2100,19673553703;0;0;0;23671,5224427483;29024,5789027456;24245,1972343015;24245,1972343015;26345,3939698385
"33";1982-09-01;24328,8811573971;-1310,72563678435;-1310,72563678435;-1310,72563678435;-1310,72563678435;-1310,72563678435;-1310,72563678435;0;0;0;20444,632922033;25542,7341791888;24328,8811573971;24328,8811573971;23018,1555206128
"34";1982-10-01;24409,8655991026;-161,26473136809;-161,26473136809;-161,26473136809;-161,26473136809;-161,26473136809;-161,26473136809;0;0;0;21600,9585536019;26844,1300332174;24409,8655991026;24409,8655991026;24248,6008677345
"35";1982-11-01;24493,5495191677;4869,86151246377;4869,86151246377;4869,86151246377;4869,86151246377;4869,86151246377;4869,86151246377;0;0;0;26677,6028648231;31844,2856649562;24493,5495191677;24493,5495191677;29363,4110316314
"36";1982-12-01;24574,5339579403;9934,73642419139;9934,73642419139;9934,73642419139;9934,73642419139;9934,73642419139;9934,73642419139;0;0;0;31980,4940658336;37095,5567208575;24574,5339579403;24574,5339579403;34509,2703821317
"37";1983-01-01;24658,2178780054;-8389,43091284496;-8389,43091284496;-8389,43091284496;-8389,43091284496;-8389,43091284496;-8389,43091284496;0;0;0;13672,4907053153;18843,8246509623;24658,2178780054;24658,2178780054;16268,7869651604
"38";1983-02-01;24741,9017980705;-5178,76810308821;-5178,76810308821;-5178,76810308821;-5178,76810308821;-5178,76810308821;-5178,76810308821;0;0;0;16858,5226125606;22347,7461536041;24741,9017980705;24741,9017980705;19563,1336949822
"39";1983-03-01;24817,4872742583;-2974,21524189142;-2974,21524189142;-2974,21524189142;-2974,21524189142;-2974,21524189142;-2974,21524189142;0;0;0;19226,0739146028;24593,0389645563;24817,4872742583;24817,4872742583;21843,2720323668
"40";1983-04-01;24901,1711943233;-1219,77745128183;-1219,77745128183;-1219,77745128183;-1219,77745128183;-1219,77745128183;-1219,77745128183;0;0;0;21026,7703012297;26334,9995366427;24901,1711943233;24901,1711943233;23681,3937430415
"41";1983-05-01;24982,1556300871;-2306,35255436378;-2306,35255436378;-2306,35255436378;-2306,35255436378;-2306,35255436378;-2306,35255436378;0;0;0;19986,4725229238;25298,6767729981;24982,1556300871;24982,1556300871;22675,8030757233
"42";1983-06-01;25065,8395470429;-1833,29145107924;-1833,29145107924;-1833,29145107924;-1833,29145107924;-1833,29145107924;-1833,29145107924;0;0;0;20602,2476288784;26107,7452944836;25065,8395470429;25065,8395470429;23232,5480959637
"43";1983-07-01;25146,8239828067;2757,50853604823;2757,50853604823;2757,50853604823;2757,50853604823;2757,50853604823;2757,50853604823;0;0;0;25301,0745027337;30481,4072295017;25146,8239828067;25146,8239828067;27904,3325188549
"44";1983-08-01;25230,5078997625;1780,90515470047;1780,90515470047;1780,90515470047;1780,90515470047;1780,90515470047;1780,90515470047;0;0;0;24299,5304508464;29806,4907651509;25230,5078997625;25230,5078997625;27011,413054463
"45";1983-09-01;25314,1918167184;-845,742797228487;-845,742797228487;-845,742797228487;-845,742797228487;-845,742797228487;-845,742797228487;0;0;0;21838,169698069;27046,5513979601;25314,1918167184;25314,1918167184;24468,4490194899
"46";1983-10-01;25395,1762134828;-507,820251762234;-507,820251762234;-507,820251762234;-507,820251762234;-507,820251762234;-507,820251762234;0;0;0;22292,8212137989;27479,2944077879;25395,1762134828;25395,1762134828;24887,3559617206
"47";1983-11-01;25478,8600901394;4656,14695228148;4656,14695228148;4656,14695228148;4656,14695228148;4656,14695228148;4656,14695228148;0;0;0;27352,9689006935;32846,1764719164;25478,8600901394;25478,8600901394;30135,0070424209
"48";1983-12-01;25559,8444869038;10188,7234584825;10188,7234584825;10188,7234584825;10188,7234584825;10188,7234584825;10188,7234584825;0;0;0;32964,1671629352;38515,1413206605;25559,8444869038;25559,8444869038;35748,5679453863
"49";1984-01-01;25643,5283635604;-8241,51737536856;-8241,51737536856;-8241,51737536856;-8241,51737536856;-8241,51737536856;-8241,51737536856;0;0;0;14985,069879145;19987,7503553039;25643,5283635604;25643,5283635604;17402,0109881918
"50";1984-02-01;25727,212240217;-4974,77277301114;-4974,77277301114;-4974,77277301114;-4974,77277301114;-4974,77277301114;-4974,77277301114;0;0;0;18074,8636333991;23533,323827525;25727,212240217;25727,212240217;20752,4394672058
"51";1984-03-01;25805,4971570893;-1603,1223801231;-1603,1223801231;-1603,1223801231;-1603,1223801231;-1603,1223801231;-1603,1223801231;0;0;0;21421,8811790321;26783,0485749862;25805,4971570893;25805,4971570893;24202,3747769661
"52";1984-04-01;25889,1809470659;-1642,17451655942;-1642,17451655942;-1642,17451655942;-1642,17451655942;-1642,17451655942;-1642,17451655942;0;0;0;21682,5543195896;26863,3304008278;25889,1809470659;25889,1809470659;24247,0064305065
"53";1984-05-01;25970,1652599466;-1994,06530994591;-1994,06530994591;-1994,06530994591;-1994,06530994591;-1994,06530994591;-1994,06530994591;0;0;0;21354,4802891541;26470,657745193;25970,1652599466;25970,1652599466;23976,0999500007
"54";1984-06-01;26053,8490499232;-2478,77671377435;-2478,77671377435;-2478,77671377435;-2478,77671377435;-2478,77671377435;-2478,77671377435;0;0;0;20856,6983443756;26096,0790852556;26053,8490499232;26053,8490499232;23575,0723361489
"55";1984-07-01;26134,8333628039;2683,67833985187;2683,67833985187;2683,67833985187;2683,67833985187;2683,67833985187;2683,67833985187;0;0;0;26139,915710629;31326,9208931453;26134,8333628039;26134,8333628039;28818,5117026557
"56";1984-08-01;26218,5171527805;2746,41064484116;2746,41064484116;2746,41064484116;2746,41064484116;2746,41064484116;2746,41064484116;0;0;0;26210,0443263462;31470,6171082603;26218,5171527805;26218,5171527805;28964,9277976217
"57";1984-09-01;26302,2009427572;-2240,20550432417;-2240,20550432417;-2240,20550432417;-2240,20550432417;-2240,20550432417;-2240,20550432417;0;0;0;21231,4099733124;26618,1274406466;26302,2009427572;26302,2009427572;24061,995438433
"58";1984-10-01;26371,8385568604;514,833988665402;514,833988665402;514,833988665402;514,833988665402;514,833988665402;514,833988665402;0;0;0;24095,0429127731;29508,3825144485;26371,8385568604;26371,8385568604;26886,6725455258
"59";1984-11-01;26443,797424767;5317,03694877117;5317,03694877117;5317,03694877117;5317,03694877117;5317,03694877117;5317,03694877117;0;0;0;29203,2681124987;34498,1057350671;26443,797424767;26443,797424767;31760,8343735382
"60";1984-12-01;26513,4350388702;9431,55752307386;9431,55752307386;9431,55752307386;9431,55752307386;9431,55752307386;9431,55752307386;0;0;0;33262,3328791054;38750,7949907544;26513,4350388702;26513,4350388702;35944,992561944
"61";1985-01-01;26585,3939067768;-8676,03738724767;-8676,03738724767;-8676,03738724767;-8676,03738724767;-8676,03738724767;-8676,03738724767;0;0;0;15225,3730396875;20563,4346664221;26585,3939067768;26585,3939067768;17909,3565195291
"62";1985-02-01;26657,3527746834;-5608,34632204894;-5608,34632204894;-5608,34632204894;-5608,34632204894;-5608,34632204894;-5608,34632204894;0;0;0;18486,0021597546;23737,9286747631;26657,3527746834;26657,3527746834;21049,0064526345
"63";1985-03-01;26705,9206029148;-2058,9135347278;-2058,9135347278;-2058,9135347278;-2058,9135347278;-2058,9135347278;-2058,9135347278;0;0;0;22077,7548688397;27213,5516946543;26705,9206029148;26705,9206029148;24647,007068187
"64";1985-04-01;26759,6921270282;-1506,16289701681;-1506,16289701681;-1506,16289701681;-1506,16289701681;-1506,16289701681;-1506,16289701681;0;0;0;22520,788336159;27745,09434281;26759,6921270282;26759,6921270282;25253,5292300114
"65";1985-05-01;26811,7290858476;-2101,4951907224;-2101,4951907224;-2101,4951907224;-2101,4951907224;-2101,4951907224;-2101,4951907224;0;0;0;22015,7848152069;27189,8253298944;26811,7290858476;26811,7290858476;24710,2338951252
"66";1985-06-01;26865,500609961;-2265,94574748981;-2265,94574748981;-2265,94574748981;-2265,94574748981;-2265,94574748981;-2265,94574748981;0;0;0;21960,7927203889;27383,890909986;26865,500609961;26865,500609961;24599,5548624712
"67";1985-07-01;26917,5375687804;2715,30114122056;2715,30114122056;2715,30114122056;2715,30114122056;2715,30114122056;2715,30114122056;0;0;0;26975,8382935309;32271,2619351702;26917,5375687804;26917,5375687804;29632,8387100009
"68";1985-08-01;26971,3090928938;2422,11891450472;2422,11891450472;2422,11891450472;2422,11891450472;2422,11891450472;2422,11891450472;0;0;0;26810,5222659462;31887,2198967869;26971,3090928938;26971,3090928938;29393,4280073985
"69";1985-09-01;27002,0395675219;-1775,66149311958;-1775,66149311958;-1775,66149311958;-1775,66149311958;-1775,66149311958;-1775,66149311958;0;0;0;22452,8303478663;28022,324234734;27002,0395675219;27002,0395675219;25226,3780744024
"70";1985-10-01;27031,7787365169;179,722357314289;179,722357314289;179,722357314289;179,722357314289;179,722357314289;179,722357314289;0;0;0;24744,9483200311;29758,368675916;27031,7787365169;27031,7787365169;27211,5010938312
"71";1985-11-01;27062,5092111451;5090,23338875396;5090,23338875396;5090,23338875396;5090,23338875396;5090,23338875396;5090,23338875396;0;0;0;29450,435855133;34620,0872617747;27062,5092111451;27062,5092111451;32152,7425998991
"72";1985-12-01;27092,2483801401;9682,27921885876;9682,27921885876;9682,27921885876;9682,27921885876;9682,27921885876;9682,27921885876;0;0;0;34124,7378207557;39510,769078437;27092,2483801401;27092,2483801401;36774,5275989989
"73";1986-01-01;27122,9788547683;-8534,33935235338;-8534,33935235338;-8534,33935235338;-8534,33935235338;-8534,33935235338;-8534,33935235338;0;0;0;15990,3782966193;21398,5704011393;27122,9788547683;27122,9788547683;18588,6395024149
"74";1986-02-01;27130,5312136512;-5390,03985959906;-5390,03985959906;-5390,03985959906;-5390,03985959906;-5390,03985959906;-5390,03985959906;0;0;0;19183,8403603079;24410,6048383576;27130,5312136512;27130,5312136512;21740,4913540522
"75";1986-03-01;27137,3526990939;-2516,09554993202;-2516,09554993202;-2516,09554993202;-2516,09554993202;-2516,09554993202;-2516,09554993202;0;0;0;21978,4649205509;27263,5990602317;27137,3526990939;27137,3526990939;24621,2571491619
"76";1986-04-01;27144,9050579768;-1365,36308454059;-1365,36308454059;-1365,36308454059;-1365,36308454059;-1365,36308454059;-1365,36308454059;0;0;0;22991,8352106431;28320,0849345722;27144,9050579768;27144,9050579768;25779,5419734362
"77";1986-05-01;27152,2137923797;-2205,60001402984;-2205,60001402984;-2205,60001402984;-2205,60001402984;-2205,60001402984;-2205,60001402984;0;0;0;22406,7991076282;27585,6657000738;27152,2137923797;27152,2137923797;24946,6137783498
"78";1986-06-01;27159,7661512626;-2050,6934686417;-2050,6934686417;-2050,6934686417;-2050,6934686417;-2050,6934686417;-2050,6934686417;0;0;0;22604,5480218135;27700,8754170674;27159,7661512626;27159,7661512626;25109,0726826209
"79";1986-07-01;27167,0748856655;2739,92423088419;2739,92423088419;2739,92423088419;2739,92423088419;2739,92423088419;2739,92423088419;0;0;0;26917,5953359874;32672,2314284127;27167,0748856655;27167,0748856655;29906,9991165497
"80";1986-08-01;27157,4486300595;2100,19673553725;2100,19673553725;2100,19673553725;2100,19673553725;2100,19673553725;2100,19673553725;0;0;0;26744,4163527894;31885,0863961792;27157,4486300595;27157,4486300595;29257,6453655967
"81";1986-09-01;27147,8223744535;-1310,72563678417;-1310,72563678417;-1310,72563678417;-1310,72563678417;-1310,72563678417;-1310,72563678417;0;0;0;23168,1589423643;28303,2734389703;27147,8223744535;27147,8223744535;25837,0967376693
"82";1986-10-01;27138,5066432218;-161,264731368343;-161,264731368343;-161,264731368343;-161,264731368343;-161,264731368343;-161,264731368343;0;0;0;24266,5413465366;29646,3530219822;27138,5066432218;27138,5066432218;26977,2419118535
"83";1986-11-01;27128,8803876158;4869,8615124642;4869,8615124642;4869,8615124642;4869,8615124642;4869,8615124642;4869,8615124642;0;0;0;29337,5290174061;34629,3888549003;27128,8803876158;27128,8803876158;31998,74190008
"84";1986-12-01;27119,5646563842;9934,73642419179;9934,73642419179;9934,73642419179;9934,73642419179;9934,73642419179;9934,73642419179;0;0;0;34448,4089968528;39776,7276121664;27119,5646563842;27119,5646563842;37054,301080576
"85";1987-01-01;27106,2605044714;-8389,43091284505;-8389,43091284505;-8389,43091284505;-8389,43091284505;-8389,43091284505;-8389,43091284505;0;0;0;16072,7040837769;21361,443745534;27106,2605044714;27106,2605044714;18716,8295916264
"86";1987-02-01;27092,9563525586;-5178,76810308842;-5178,76810308842;-5178,76810308842;-5178,76810308842;-5178,76810308842;-5178,76810308842;0;0;0;19150,1991203617;24685,4840091906;27092,9563525586;27092,9563525586;21914,1882494702
"87";1987-03-01;27080,939699218;-2974,21524189102;-2974,21524189102;-2974,21524189102;-2974,21524189102;-2974,21524189102;-2974,21524189102;0;0;0;21222,4884948234;26911,491790058;27080,939699218;27080,939699218;24106,724457327
"88";1987-04-01;27067,6355473052;-1219,77745128248;-1219,77745128248;-1219,77745128248;-1219,77745128248;-1219,77745128248;-1219,77745128248;0;0;0;23273,4479949396;28646,5530309471;27067,6355473052;27067,6355473052;25847,8580960227
"89";1987-05-01;27054,7605615831;-2306,3525543643;-2306,3525543643;-2306,3525543643;-2306,3525543643;-2306,3525543643;-2306,3525543643;0;0;0;22205,5873447776;27544,7766745424;27054,7605615831;27054,7605615831;24748,4080072188
"90";1987-06-01;27041,4564096703;-1833,29145107864;-1833,29145107864;-1833,29145107864;-1833,29145107864;-1833,29145107864;-1833,29145107864;0;0;0;22542,5458786001;27808,7746051282;27041,4564096703;27041,4564096703;25208,1649585917
"91";1987-07-01;27028,5814227624;2757,50853604754;2757,50853604754;2757,50853604754;2757,50853604754;2757,50853604754;2757,50853604754;0;0;0;26959,9629976362;32366,4998109544;27028,5814227624;27028,5814227624;29786,0899588099
"92";1987-08-01;27015,2772696242;1780,90515469997;1780,90515469997;1780,90515469997;1780,90515469997;1780,90515469997;1780,90515469997;0;0;0;26163,0792645294;31335,864176652;27015,2772696242;27015,2772696242;28796,1824243242
"93";1987-09-01;27001,9731164861;-845,742797229424;-845,742797229424;-845,742797229424;-845,742797229424;-845,742797229424;-845,742797229424;0;0;0;23453,9976624719;28841,2576345352;27001,9731164861;27001,9731164861;26156,2303192566
"94";1987-10-01;26989,0981295782;-507,820251761738;-507,820251761738;-507,820251761738;-507,820251761738;-507,820251761738;-507,820251761738;0;0;0;23894,9228078589;29193,277298684;26989,0981295782;26989,0981295782;26481,2778778164
"95";1987-11-01;26975,79397644;4656,14695228115;4656,14695228115;4656,14695228115;4656,14695228115;4656,14695228115;4656,14695228115;0;0;0;28765,736810321;34369,9553451928;26975,79397644;26975,79397644;31631,9409287211
"96";1987-12-01;26962,9189895321;10188,7234584824;10188,7234584824;10188,7234584824;10188,7234584824;10188,7234584824;10188,7234584824;0;0;0;34403,7339675322;39901,0338209209;26962,9189895321;26962,9189895321;37151,6424480145
"97";1988-01-01;26949,6148358019;-8241,51737536866;-8241,51737536866;-8241,51737536866;-8241,51737536866;-8241,51737536866;-8241,51737536866;0;0;0;15993,5562022386;21489,9627774468;26949,6148358019;26949,6148358019;18708,0974604333
"98";1988-02-01;26936,3106820718;-4974,77277301133;-4974,77277301133;-4974,77277301133;-4974,77277301133;-4974,77277301133;-4974,77277301133;0;0;0;19347,5996041224;24760,9353738282;26936,3106820718;26936,3106820718;21961,5379090605
"99";1988-03-01;26923,8648608404;-1603,12238012329;-1603,12238012329;-1603,12238012329;-1603,12238012329;-1603,12238012329;-1603,12238012329;0;0;0;22697,6074387946;27951,3995300463;26923,8648608404;26923,8648608404;25320,7424807171
"100";1988-04-01;26910,5607071102;-1642,17451655957;-1642,17451655957;-1642,17451655957;-1642,17451655957;-1642,17451655957;-1642,17451655957;0;0;0;22590,9059059681;27782,0756387844;26910,5607071102;26910,5607071102;25268,3861905507
"101";1988-05-01;26897,6857196294;-1994,06530994623;-1994,06530994623;-1994,06530994623;-1994,06530994623;-1994,06530994623;-1994,06530994623;0;0;0;22342,6613959834;27427,491461179;26897,6857196294;26897,6857196294;24903,6204096832
"102";1988-06-01;26884,3815663847;-2478,77671377506;-2478,77671377506;-2478,77671377506;-2478,77671377506;-2478,77671377506;-2478,77671377506;0;0;0;21915,5816452376;27122,6630647978;26884,3815663847;26884,3815663847;24405,6048526097
"103";1988-07-01;26871,5065793737;2683,67833985212;2683,67833985212;2683,67833985212;2683,67833985212;2683,67833985212;2683,67833985212;0;0;0;27055,1039278113;32322,6375474844;26871,5065793737;26871,5065793737;29555,1849192258
"104";1988-08-01;26858,202426129;2746,41064484178;2746,41064484178;2746,41064484178;2746,41064484178;2746,41064484178;2746,41064484178;0;0;0;27045,237459855;32098,6590752348;26858,202426129;26858,202426129;29604,6130709708
"105";1988-09-01;26844,8982728843;-2240,20550432441;-2240,20550432441;-2240,20550432441;-2240,20550432441;-2240,20550432441;-2240,20550432441;0;0;0;21845,9321410796;27257,5366686097;26844,8982728843;26844,8982728843;24604,6927685598
"106";1988-10-01;26832,0232858732;514,833988665388;514,833988665388;514,833988665388;514,833988665388;514,833988665388;514,833988665388;0;0;0;24748,043996676;30077,4455648769;26832,0232858732;26832,0232858732;27346,8572745386
"107";1988-11-01;26818,7191326285;5317,03694877145;5317,03694877145;5317,03694877145;5317,03694877145;5317,03694877145;5317,03694877145;0;0;0;29646,7933923218;34786,2271898981;26818,7191326285;26818,7191326285;32135,7560814
"108";1988-12-01;26805,8441467214;9431,55752307405;9431,55752307405;9431,55752307405;9431,55752307405;9431,55752307405;9431,55752307405;0;0;0;33594,0118983245;38835,2342265544;26805,8441467214;26805,8441467214;36237,4016697954
"109";1989-01-01;26792,5399946173;-8676,03738724814;-8676,03738724814;-8676,03738724814;-8676,03738724814;-8676,03738724814;-8676,03738724814;0;0;0;15664,5125021387;21009,6337309723;26792,5399946173;26792,5399946173;18116,5026073692
"110";1989-02-01;26779,2358425133;-5608,34632204893;-5608,34632204893;-5608,34632204893;-5608,34632204893;-5608,34632204893;-5608,34632204893;0;0;0;18269,8049097291;23958,1705119738;26779,2358425133;26779,2358425133;21170,8895204643
"111";1989-03-01;26767,2191889999;-2058,91353472791;-2058,91353472791;-2058,91353472791;-2058,91353472791;-2058,91353472791;-2058,91353472791;0;0;0;22141,322292173;27507,8687716873;26767,2191889999;26767,2191889999;24708,305654272
"112";1989-04-01;26753,9150368958;-1506,16289701662;-1506,16289701662;-1506,16289701662;-1506,16289701662;-1506,16289701662;-1506,16289701662;0;0;0;22618,0180808059;27888,6560112873;26753,9150368958;26753,9150368958;25247,7521398792
"113";1989-05-01;26741,0400537775;-2101,49519072185;-2101,49519072185;-2101,49519072185;-2101,49519072185;-2101,49519072185;-2101,49519072185;0;0;0;21993,1875558825;27292,8392543922;26741,0400537775;26741,0400537775;24639,5448630557
"114";1989-06-01;26727,7359045553;-2265,94574748966;-2265,94574748966;-2265,94574748966;-2265,94574748966;-2265,94574748966;-2265,94574748966;0;0;0;21988,1496403122;27085,4996753472;26727,7359045553;26727,7359045553;24461,7901570656
"115";1989-07-01;26714,8609214369;2715,30114122177;2715,30114122177;2715,30114122177;2715,30114122177;2715,30114122177;2715,30114122177;0;0;0;26804,204194103;32024,3179612816;26714,8609214369;26714,8609214369;29430,1620626587
"116";1989-08-01;26701,5567722147;2422,11891450393;2422,11891450393;2422,11891450393;2422,11891450393;2422,11891450393;2422,11891450393;0;0;0;26542,3643495738;31697,7104101375;26701,5567722147;26701,5567722147;29123,6756867186
"117";1989-09-01;26688,2526229924;-1775,66149312018;-1775,66149312018;-1775,66149312018;-1775,66149312018;-1775,66149312018;-1775,66149312018;0;0;0;22474,5823078684;27522,3750253529;26688,2526229924;26688,2526229924;24912,5911298722
"118";1989-10-01;26675,3776398741;179,722357314536;179,722357314536;179,722357314536;179,722357314536;179,722357314536;179,722357314536;0;0;0;24248,3757991819;29532,3789117955;26675,3776398741;26675,3776398741;26855,0999971886
"119";1989-11-01;26662,07368437;5090,23338875357;5090,23338875357;5090,23338875357;5090,23338875357;5090,23338875357;5090,23338875357;0;0;0;29020,7324175405;34442,7253978441;26662,07368437;26662,07368437;31752,3070731236
"120";1989-12-01;26649,1988887209;9682,27921885916;9682,27921885916;9682,27921885916;9682,27921885916;9682,27921885916;9682,27921885916;0;0;0;33563,8804090745;38855,3208326678;26649,1988887209;26649,1988887209;36331,4781075801
